PROVINCIE,BRIN,INSTELLINGSCODE,VESTIGINGSCODE,NAAM,STRAATNAAM,HUISNUMMER,POSTCODE,PLAATSNAAM,GEMEENTENAAM,DENOMINATIE,TELEFOONNUMMER,INTERNETADRES,ONDERWIJSSTRUCTUUR,VAKANTIEREGIO
Groningen,42510,20EM,20EM00,"H. N. Werkmancollege, school voor Atheneum, havo,mavo en vbo",Nieuwe Sint Jansstraat,11,9711 VG,GRONINGEN,GRONINGEN,Openbaar,503210500,www.stadlyceum.nl,VBO/MAVO/HAVO/VWO,Noord
Groningen,42510,20EM,20EM01,"H.N. Werkman College, school voor atheneum, havo, mavo en vbo",Melisseweg,2-A,9731 BX,GRONINGEN,GRONINGEN,Openbaar,503210520,www.iskgroningen.nl,HAVO/VWO,Noord
Groningen,42510,20EM,20EM03,"H N Werkman College, school voor atheneum, havo,mavo en vbo",Melisseweg,2,9731 BX,GRONINGEN,GRONINGEN,Openbaar,503210515,www.topsporttalentschoolgroningen.nl,VBO/MAVO/HAVO/VWO,Noord
Groningen,42510,20EM,20EM04,"H.N. Werkman College, school voor atheneum, havo, mavo en vbo",Kluiverboom,1-A,9732 KZ,GRONINGEN,GRONINGEN,Openbaar,503210555,www.werkmanvmbo.nl,VBO/MAVO,Noord
Groningen,42510,20ER,20ER00,Zernike College voor ATHENEUM HAVO MAVO VBO,Helper Brink,30,9722 EP,GRONINGEN,GRONINGEN,Openbaar,503210580,www.montessorilyceumgroningen.nl,HAVO/VWO,Noord
Groningen,42510,20ER,20ER04,Zernike College voor Ath Havo Mavo Vbo,Kerklaan,39,9751 NL,HAREN GN,GRONINGEN,Openbaar, , ,HAVO/VWO,Noord
Groningen,42510,20ER,20ER05,Zernike College voor Atheum Havo Mavo Vbo,Rummerinkhof,8,9751 SL,HAREN GN,GRONINGEN,Openbaar,504065760, ,BRUGJAAR,Noord
Groningen,42510,20ER,20ER08,Zernike College voor ATHENEUM HAVO MAVO VBO,Van Iddekingeweg,140,9721 CL,GRONINGEN,GRONINGEN,Openbaar,503210595,www.montessorivaklyceum.nl,VBO/MAVO,Noord
Groningen,42510,20ER,20ER09,Zernike College voor ATHENEUM HAVO MAVO VBO,Vondellaan,83,9721 LD,GRONINGEN,GRONINGEN,Openbaar,503210590,www.montessorivaklyceum.nl,VBO/MAVO,Noord
Groningen,42534,25GM,25GM00,dr Aletta Jacobs College voor Lyc Havo Mavo Vbo Lwoo,Laan van de Sport,4,9603 TG,HOOGEZAND,MIDDEN-GRONINGEN,Openbaar,598350250,www.aletta.nl,VBO/MAVO/HAVO/VWO,Noord
