PROVINCIE,BRIN,INSTELLINGSCODE,VESTIGINGSCODE,NAAM,STRAATNAAM,HUISNUMMER,POSTCODE,PLAATSNAAM,GEMEENTENAAM,DENOMINATIE,TELEFOONNUMMER,INTERNETADRES,VAKANTIEREGIO
Flevoland,41632,23UT,23UT00,Gereformeerde Basisschool,Almerelaan,18,8321 JB,URK,URK,Gereformeerd vrijgemaakt,527684445,www.gbs-devuurbaak.nl,Noord
Flevoland,41676,14QC,14QC00,Montessorischool Almere Stad,Randstad 22,113-B,1316 BW,ALMERE,ALMERE,Openbaar,365376591,www.montessorischoolstad.nl,Noord
Flevoland,41676,14QC,14QC02,Montessorischool Almere Stad,Contrabasweg,38,1312 LL,ALMERE,ALMERE,Openbaar,365364065,www.montessorischoolstad.nl,Noord
Flevoland,41676,16KK,16KK00,Basisschool De Polderhof,Buitenhof,93,1354 GR,ALMERE,ALMERE,Openbaar,365310271,www.polderhof.asg-almere.nl,Noord
Flevoland,41676,16ML,16ML00,Basisschool Klaverweide,Rietmeent,136,1357 CM,ALMERE,ALMERE,Openbaar,365312333,www.klaverweide.asg-almere.nl,Noord
Flevoland,41676,16OC,16OC00,Openbare Basisschool De Flierefluiter,Bosgouw,235,1352 GW,ALMERE,ALMERE,Openbaar,365491563,www.flierefluiter.asg-almere.nl,Noord
Flevoland,41676,16UK,16UK00,Openbare Basisschool Aquamarijn,Meerveldplein,4,1359 HM,ALMERE,ALMERE,Openbaar,365317155,www.aquamarijn.asg-almere.nl,Noord
Flevoland,41676,16YS,16YS00,Basisschool het Samenspel,Amsterdamweg,11,1324 RL,ALMERE,ALMERE,Openbaar,365330514, ,Noord
Flevoland,41676,16YS,16YS01,Basisschool het Samenspel,Leeuwardenplein,34,1324 BH,ALMERE,ALMERE,Openbaar,365330514,www.flevoschool.asg-almere.nl,Noord
Flevoland,41676,16ZG,16ZG00,Openbare Basisschool De Achtbaan,Dordrechtplein,2,1324 VD,ALMERE,ALMERE,Openbaar,367670540,www.achtbaan.asg-almere.nl,Noord
Flevoland,41676,16ZX,16ZX00,Openbare Basisschool De Kameleon,Lingestraat,34,1316 CS,ALMERE,ALMERE,Openbaar,365332686,www.kameleon.asg-almere.nl,Noord
Flevoland,41676,17AV,17AV00,Basisschool De Argonaut,Zaagvisplantsoen,32,1317 HP,ALMERE,ALMERE,Openbaar,365334863,www.argonaut.asg-almere.nl,Noord
Flevoland,41676,17DA,17DA00,Openbare basisschool Digitalis,Rolklaverpad,30,1314 PE,ALMERE,ALMERE,Openbaar,367670410,www.digitalis.asg-almere.nl,Noord
Flevoland,41676,17DA,17DA03,Openbare basisschool Digitalis,Rolklaverpad,29,1314 PD,ALMERE,ALMERE,Openbaar, ,www.digitalis.asg-almere.nl,Noord
Flevoland,41676,17DK,17DK00,De Tjasker,Buitenkruierstraat,2,1333 EB,ALMERE,ALMERE,Openbaar,365321041,www.tjasker.asg.nl,Noord
Flevoland,41676,17DV,17DV00,Basisschool De Kring,Wipmolenweg,50,1333 GS,ALMERE,ALMERE,Openbaar,365321030,www.kring.asg.nl,Noord
Flevoland,41676,17MH,17MH00,Openbare Basisschool De Architect,C. van Eesterenplein,1,1333 KM,ALMERE,ALMERE,Openbaar,367670630,www.architect.asg-almere.nl,Noord
Flevoland,41676,21KO,21KO00,Openbare basisschool De Heliotroop,Beemdgrasstraat,12,1313 CM,ALMERE,ALMERE,Openbaar,367670460,www.deheliotroop.nl,Noord
Flevoland,41676,21ND,21ND00,Basisschool Vuurvogel,Ravelplantsoen,5,1323 ET,ALMERE,ALMERE,Openbaar,365360465,www.vuurvogel.asg.nl,Noord
Flevoland,41676,22KP,22KP00,Openbare Basisschool Het Spectrum,Regenboogweg,47,1339 ET,ALMERE,ALMERE,Openbaar,365352222,www.spectrum-almere.nl,Noord
Flevoland,41676,23EU,23EU00,Openbare Basisschool Bommelstein,Markiezenhofstraat,62,1333 TS,ALMERE,ALMERE,Openbaar,324099448,www.bommelstein.asg-almere.nl,Noord
Flevoland,41676,23ZX,23ZX00,Openbare Basisschool Polygoon,Hollywoodlaan,109,1325 KA,ALMERE,ALMERE,Openbaar,365376556,www.polygoon.asg-almere.nl,Noord
Flevoland,41676,23ZY,23ZY00,Openbare Basisschool Syncope,Kornetstraat,19,1312 XE,ALMERE,ALMERE,Openbaar,365361277,www.obssyncope.nl,Noord
Flevoland,41676,24MR,24MR00,Openbare Basisschool de Albatros,Edelhertweg,85,1338 EB,ALMERE,ALMERE,Openbaar,365328971, ,Noord
Flevoland,41676,25KV,25KV00,Openbare Basisschool de Zevensprong,Danslaan,74,1326 PL,ALMERE,ALMERE,Openbaar,365491563,www.zevensprong.asg-almere.nl,Noord
Flevoland,41676,26AB,26AB00,Openbare Basisschool Aurora,Aprilstraat,105,1335 BL,ALMERE,ALMERE,Openbaar,365356077,www.aurora.asg-almere.nl,Noord
Flevoland,41676,26PD,26PD00,Openbare Basisschool Het Palet,Johan Jongkindstraat,26,1318 LW,ALMERE,ALMERE,Openbaar,365353033,www.hetpaletalmere.nl,Noord
Flevoland,41676,26PE,26PE00,Openbare Basisschool De Egelantier,Pieter van Damstraat,38,1335 PG,ALMERE,ALMERE,Openbaar,365296818, ,Noord
Flevoland,41676,26PF,26PF00,OBS Letterland,A. Roland Holststraat,58,1321 RX,ALMERE,ALMERE,Openbaar,365360566,www.letterland.nl,Noord
Flevoland,41676,26PH,26PH00,OBS De Archipel,Maldivenweg,45,1339 PP,ALMERE,ALMERE,Openbaar,365214791,www.archipel.asg-almere.nl,Noord
Flevoland,41676,26ZZ,26ZZ00,Openbare Basisschool Caleidoscoop,Walt Disneyplantsoen,72,1325 SX,ALMERE,ALMERE,Openbaar,365353419, ,Noord
Flevoland,41676,27NU,27NU00,OBS De Compositie,Chagallweg,10,1328 LE,ALMERE,ALMERE,Openbaar,367671573,www.compositie.asg-almere.nl,Noord
Flevoland,41676,27UB,27UB00,Openbare Basisschool Het Meesterwerk,El Grecostraat,171,1328 ST,ALMERE,ALMERE,Openbaar,365239002,www.hetmeesterwerk.nl,Noord
Flevoland,41676,27YN,27YN00,De Ontdekking,Kraaiennest,6,1319 DA,ALMERE,ALMERE,Openbaar,365487050,www.obsdeontdekking.nl,Noord
Flevoland,41676,28AM,28AM00,Het Avontuur,Catootjepad,6,1336 JG,ALMERE,ALMERE,Openbaar,365406363,www.avontuur.asg-almere.nl,Noord
Flevoland,41676,30AJ,30AJ00,Columbusschool,Marco Poloroute,56,1363 LA,ALMERE,ALMERE,Openbaar,367670150,www.columbusschool.asg-almere.nl,Noord
Flevoland,41676,31AZ,31AZ00,Algemeen Bijzondere Basisschool Het Universum,Max Planckstraat,74,1341 DA,ALMERE,ALMERE,Algemeen bijzonder,367671562,www.universum.asg-almere.nl,Noord
Flevoland,41676,31DJ,31DJ00,Openbare Basisschool De Zeeraket,Monacostraat,50,1363 CG,ALMERE,ALMERE,Openbaar,367670221,www.dezeeraket.asg-almere.nl,Noord
Flevoland,41676,31FT,31FT00,Odyssee,Boreasplein,2,1363 SM,ALMERE,ALMERE,Algemeen bijzonder,643010569,www.odyssee.asg.nl,Noord
Flevoland,41676,31TB,31TB00,Montessori Campus 0-18 (primair onderwijs),Rosalind Franklinweg,4,1341 HZ,ALMERE,ALMERE,Openbaar, ,www.montessoricampus.nl,Noord
Flevoland,41676,32CJ,32CJ00,De Pauw,Burchard de Volderstraat,19,1349 HJ,ALMERE,ALMERE,Openbaar,367676888,https://depauw.asg.nl,Noord
Flevoland,41813,06DE,06DE00,Openbare Basisschool 'T Wold,Flevoweg,68,3891 CB,ZEEWOLDE,ZEEWOLDE,Openbaar,365221501,www.hetwold.nl,Midden
Flevoland,41813,11BL,11BL00,Openbare Basisschool De Dukdalf,Beursplein,6,8253 EA,DRONTEN,DRONTEN,Openbaar,321382858,www.dedukdalf.net,Noord
Flevoland,41813,11OD,11OD00,Openbare basisschool Aquamarijn,De Ketting,16,8251 LD,DRONTEN,DRONTEN,Openbaar,321382918,www.obsaquamarijn.nl,Noord
Flevoland,41813,11ZL,11ZL00,Samenwerkingsschool De Brandaris,Westland,6,8251 VX,DRONTEN,DRONTEN,Openbaar,321316066,www.debrandaris.net,Noord
Flevoland,41813,12IX,12IX00,Daltonschool De Schatkamer,Akkerhof,1,8256 BK,BIDDINGHUIZEN,DRONTEN,Openbaar,321331502,www.daltonschooldeschatkamer.nl,Noord
Flevoland,41813,12RH,12RH00,Openbare Basisschool De Duykeldam,De Lange Streek,30,8255 AR,SWIFTERBANT,DRONTEN,Openbaar,321321417,www.duykeldam.nl,Noord
Flevoland,41813,21NF,21NF00,Samenwerkingsschool Het Wilgerys,Lancasterdreef,65,8251 TJ,DRONTEN,DRONTEN,Openbaar,321315904,www.hetwilgerijs.nl,Noord
Flevoland,41813,22JI,22JI00,De Wetering,De Verbeelding,27,3892 HZ,ZEEWOLDE,ZEEWOLDE,Openbaar,365223671,www.obsdewetering.nl,Midden
Flevoland,41813,23BP,23BP00,Openbare Basisschool Flevosprong,De Barrage,2,8252 GW,DRONTEN,DRONTEN,Openbaar,321318524,www.flevosprong.nl,Noord
Flevoland,41813,29XH,29XH00,Openbare Basisschool Panta Rhei,Gedempte Gracht,17,3894 BA,ZEEWOLDE,ZEEWOLDE,Openbaar,365226303,www.obspantarhei.eu,Midden
Flevoland,42523,30FX,30FX00,Kaleidoscoop,Gedempte Gracht,25,3894 BA,ZEEWOLDE,ZEEWOLDE,Interconfessioneel,365234593,www.icbkaleidoscoop.nl,Midden
Flevoland,42552,15PG,15PG00,De Vuurtoren,Middelgronden,17,8223 ZL,LELYSTAD,LELYSTAD,Openbaar,320221768,www.obsdevuurtoren.nl,Noord
Flevoland,42552,15WK,15WK00,De Regenboog,Voorhof,4,8212 CA,LELYSTAD,LELYSTAD,Openbaar,320226181,www.regenboog-lelystad.nl,Noord
Flevoland,42552,16AK,16AK00,De Windroos,Karveel 22,28,8231 BG,LELYSTAD,LELYSTAD,Openbaar,320221451,www.obs-dewindroos.nl,Noord
Flevoland,42552,16CA,16CA00,De Lepelaar,Kempenaar 14,58,8231 VW,LELYSTAD,LELYSTAD,Openbaar,320240583, ,Noord
Flevoland,42552,16DM,16DM00,Openbare Basisschool De Optimist,Schor,5,8224 CM,LELYSTAD,LELYSTAD,Openbaar,320767690,www.obs-deoptimist.nl,Noord
Flevoland,42552,16GB,16GB00,De Boeier,Karveel 49,19,8242 VS,LELYSTAD,LELYSTAD,Openbaar,320222178,www.obsboeier.nl,Noord
Flevoland,42552,16HL,16HL00,De Albatros,Kogge 02,25,8242 AL,LELYSTAD,LELYSTAD,Openbaar,320240672, ,Noord
Flevoland,42552,16IV,16IV00,De Meander,Pauwenburg,4,8226 TA,LELYSTAD,LELYSTAD,Openbaar,320240521,www.demeander.eu,Noord
Flevoland,42552,16KA,16KA00,De Grundel,Gondel 22,17,8243 CA,LELYSTAD,LELYSTAD,Openbaar,320222422,www.obsdegrundel.nl,Noord
Flevoland,42552,16MD,16MD00,De Driemaster,Wold 15,73,8225 AG,LELYSTAD,LELYSTAD,Openbaar,320243434,driemaster.klaskompas.nl/,Noord
Flevoland,42552,16NB,16NB00,De Tjotter,Kennemerland,19,8245 ER,LELYSTAD,LELYSTAD,Openbaar,320250153,www.obs-de-tjotter.nl,Noord
Flevoland,42552,16NU,16NU00,De Finnjol,Jol 24,54,8243 GR,LELYSTAD,LELYSTAD,Openbaar,320243424,www.basisschooldefinnjol.nl,Noord
Flevoland,42552,16UD,16UD00,De Triangel,Buizerdweg,27,8245 AA,LELYSTAD,LELYSTAD,Openbaar,320250103,https://www.obs-de-triangel.nl/,Noord
Flevoland,42552,16XS,16XS00,De Tjalk,Tjalk 29,41,8232 LT,LELYSTAD,LELYSTAD,Openbaar,320250445,www.daltontjalklelystad.nl,Noord
Flevoland,42552,16YM,16YM00,De Brink,Griend 25,18,8225 SC,LELYSTAD,LELYSTAD,Openbaar,320240444,www.obsdebrink.nl,Noord
Flevoland,42552,16ZC,16ZC00,De Poolster,Oostzeestraat,38,8226 BA,LELYSTAD,LELYSTAD,Openbaar,320250514,www.poolsterlelystad.nl,Noord
Flevoland,42552,16ZS,16ZS00,De Sluis,Binnendijk,198,8244 AJ,LELYSTAD,LELYSTAD,Openbaar,320260919, ,Noord
Flevoland,42552,31WE,31WE00,Kindcentrum Warande,Haagwinde,2,8245 HW,LELYSTAD,LELYSTAD,Openbaar,320255959,www.kindcentrumwarande.nl,Noord
Flevoland,42552,32FC,32FC00,Kindcentrum de Pionier,Buizerdweg,27,8245 AA,LELYSTAD,LELYSTAD,Openbaar,320331130,www.kindcentrumdepionier.nl,Noord
Flevoland,42600,07EQ,07EQ00,Protestants Christelijke Basisschool De Regenboog,Keteldiep,50,3891 CN,ZEEWOLDE,ZEEWOLDE,Protestants-Christelijk,365221556,www.pcbsregenboog.nl,Midden
Flevoland,42600,13ZB,13ZB00,De Tamarisk,Akkerhof,1,8256 BK,BIDDINGHUIZEN,DRONTEN,Protestants-Christelijk,321331766,www.detamarisk.nl,Noord
Flevoland,42600,14FD,14FD00,Het Zuiderlicht,Langstraat,48,8251 VH,DRONTEN,DRONTEN,Protestants-Christelijk,321315943,www.zuiderlichtdronten.nl,Noord
Flevoland,42600,14HV,14HV00,Het Kompas,Concourslaan,2,8252 GJ,DRONTEN,DRONTEN,Protestants-Christelijk,321313235,www.hetkompasdronten.nl,Noord
Flevoland,42600,14PU,14PU00,Aan Boord,Lijzijde,23,8251 CW,DRONTEN,DRONTEN,Protestants-Christelijk,321381710, ,Noord
Flevoland,42600,15FL,15FL00,De Branding,Zuidsingel,32,8255 CH,SWIFTERBANT,DRONTEN,Protestants-Christelijk,321321437,www.pcbdebranding.nl,Noord
Flevoland,42600,25KG,25KG00,Protestants Christelijke Basisschool De Zevensprong,Beursplein,3,8253 EA,DRONTEN,DRONTEN,Protestants-Christelijk,321382648,www.pcbdezevensprong.com,Noord
Flevoland,42600,28AP,28AP00,Het Mozaiek,Jade,41,3893 EB,ZEEWOLDE,ZEEWOLDE,Protestants-Christelijk,365358000, ,Midden
Flevoland,42834,31VV,31VV00,School van Vrede,Pieter van Damstraat,36,1335 PG,ALMERE,ALMERE,Algemeen bijzonder,686274578,www.schoolvanvrede.nl,Noord
Flevoland,42839,31WV,31WV00,Vrije School Lelystad,Maasstraat,29,8226 LP,LELYSTAD,LELYSTAD,Algemeen bijzonder,641126584, ,Noord
Flevoland,46152,03TD,03TD00,Basisschool Eben Haezer,Vogelsant,8,8303 ZR,EMMELOORD,NOORDOOSTPOLDER,Reformatorisch,527612536,www.ehsemmeloord.nl,Noord
Flevoland,48933,04XA,04XA00,Johannes Calvijnschool,Almerelaan,19,8321 JA,URK,URK,Reformatorisch,527682354,www.refbaourk.nl,Noord
Flevoland,49844,03WY,03WY00,Dr Maarten Luther,Lange Dam,27,8321 XP,URK,URK,Reformatorisch,527682751, ,Noord
Flevoland,49844,06NG,06NG00,Dominee E du Marchie van Voorthuysen Basisschool,Munnikplaat,8,8321 RJ,URK,URK,Reformatorisch,527683808, ,Noord
Flevoland,49844,27RP,27RP00,Petrus Dathenusschool,Vlechttuinen,3,8322 BA,URK,URK,Reformatorisch,527682909, ,Noord
Flevoland,53015,11DO,11DO00,Basisschool Wilhelmina,Almerelaan,16,8321 JB,URK,URK,Protestants-Christelijk,527686898,https://wilhelmina.rehoboth.nu/,Noord
Flevoland,53015,11QD,11QD00,Basisschool De Regenboog,Boterbloemstraat,23,8321 XG,URK,URK,Protestants-Christelijk,527686904, ,Noord
Flevoland,53015,12KH,12KH00,Basisschool C. Zeeman,Middelbuurt,118,8321 ZE,URK,URK,Protestants-Christelijk,527686892, ,Noord
Flevoland,53015,12SU,12SU00,Basisschool Pr Beatrix,De Lier,2,8322 AK,URK,URK,Protestants-Christelijk,527686902,rehoboth.nu,Noord
Flevoland,53015,12ZI,12ZI00,Basisschool Groen van Prinsterer,Grote Fok,24,8321 VW,URK,URK,Protestants-Christelijk,527686896,www.gvp.rehoboth.nu,Noord
Flevoland,53015,13FF,13FF00,Basisschool Harmpje Visser,Clausstraat,2,8322 GH,URK,URK,Protestants-Christelijk,527686884,www.rehoboth.nu,Noord
Flevoland,53015,21QZ,21QZ00,Frits Bodebasisschool,Nagel,1,8321 RG,URK,URK,Protestants-Christelijk,527686894, ,Noord
Flevoland,60985,14KM,14KM00,Ichthus,Middelgronden,17,8223 ZL,LELYSTAD,LELYSTAD,Protestants-Christelijk,320221612,www.pcbs-ichthus.nl,Noord
Flevoland,60985,15FM,15FM00,De Wingerd,Voorhof,1,8212 CA,LELYSTAD,LELYSTAD,Protestants-Christelijk,320222745,www.wingerdlelystad.nl,Noord
Flevoland,60985,15IR,15IR00,Het Mozaiek,Kempenaar 21,6,8231 GD,LELYSTAD,LELYSTAD,Protestants-Christelijk,320240536,www.hetmozaiek-lelystad.nl,Noord
Flevoland,60985,15LH,15LH00,3Sprong,Pauwenburg,2,8226 TA,LELYSTAD,LELYSTAD,Protestants-Christelijk,320258025,www.3sprong.net,Noord
Flevoland,60985,15QG,15QG00,Horizon,Wold 18,26,8225 AN,LELYSTAD,LELYSTAD,Protestants-Christelijk,320247920,horizon-lelystad.nl,Noord
Flevoland,60985,15SQ,15SQ00,De Schakel,Botter 40,77,8243 KW,LELYSTAD,LELYSTAD,Protestants-Christelijk,320250919,www.schakellelystad.nl,Noord
Flevoland,60985,15UW,15UW00,Driestromenland,Voorstraat,336,8226 KA,LELYSTAD,LELYSTAD,Protestants-Christelijk,320251393,www.driestromenland.nl,Noord
Flevoland,60985,32GR,32GR00,CBS Stella Nova,Wederiklaan,400,8245 MA,LELYSTAD,LELYSTAD,Protestants-Christelijk, ,kindcentrumstellanova.nl,Noord
Flevoland,62584,06RM,06RM00,Vrije School Almere,Lierstraat,7,1312 JZ,ALMERE,ALMERE,Antroposofisch,365363147,www.vrijeschool-almere.nl,Noord
Flevoland,62584,32AK,32AK00,Vrijeschool Oosterwold,Danslaan,60,1326 NA,ALMERE,ALMERE,Antroposofisch,365363147,www.vrijeschool-oosterwold.nl,Noord
Friesland,10799,04JI,04JI00,Samenwerkingsschool Yn de Mande,F Hendrik Gasaustr,22,9166 RB,SCHIERMONNIKOOG,SCHIERMONNIKOOG,"Samenwerking Opb., PC",519531387, ,Noord
Friesland,10867,18IU,18IU00,'t Hunnighouwersgat,Zuid Midslandweg,19-A,8891 GH,MIDSLAND,TERSCHELLING,Openbaar,562448568,www.hunnighouwersgat.nl,Noord
Friesland,10867,18KO,18KO00,Prinses Margriet-School,Dennenweg,4,8881 CJ,WEST-TERSCHELLING,TERSCHELLING,Openbaar,562798004,www.prinsesmargrietschoolterschelling.nl,Noord
Friesland,10867,18LY,18LY00,'t Jok,Duinweg Hoorn,1-A,8896 KK,HOORN FR,TERSCHELLING,Openbaar,562448569,www.basisonderwijsterschelling.nl,Noord
Friesland,13603,03DJ,03DJ00,Basisschool De Jutter,Lutinelaan,3,8899 BD,VLIELAND,VLIELAND,Openbaar,562452772,www.dejutter.nl,Noord
Friesland,13839,13YH,13YH00,Master Frankeskoalle,Eilansgrien,17,9264 TB,EARNEWALD,TYTSJERKSTERADIEL,Openbaar,511539509,www.frankeskoalle.nl,Noord
Friesland,20210,00CV,00CV00,School Matthijsje,Oosterstreek,23,8388 NA,OOSTERSTREEK,WESTSTELLINGWERF,Algemeen bijzonder,561432690,www.schoolmatthijsje.nl,Noord
Friesland,30330,04LR,04LR00,School Met De Bijbel De Griffel,Siniastrjitte,13,9134 NX,LJUSSENS,NOARDEAST-FRYSLAN,Protestants-Christelijk,519321989,www.cbsdegriffel.nl,Noord
Friesland,35504,07LD,07LD00,Leeuwarderschoolvereniging,Jelsumerstraat,10,8917 EN,LEEUWARDEN,LEEUWARDEN,Algemeen bijzonder,582126618,www.leeuwarderschoolvereniging.nl,Noord
Friesland,40342,06NU,06NU00,Christelijke Basisschool Bij de Boarne,Suderom,2,9212 PS,BOORNBERGUM,SMALLINGERLAND,Protestants-Christelijk,512382126,www.pcbobydeboarne.nl,Noord
Friesland,40342,06QJ,06QJ00,Samenwerkingsschool De Diamant,Buorren,34-F,9216 WE,OUDEGA SMALLINGERLAND,SMALLINGERLAND,Protestants-Christelijk,512371473,www.kindcentrum-dediamant.nl,Noord
Friesland,40342,06SG,06SG00,Samenwerkingsschool De Frissel,Smidswei,13-A,9222 NA,DRACHTSTERCOMPAGNIE,SMALLINGERLAND,Protestants-Christelijk,512341274,www.swsdefrissel.nl,Noord
Friesland,40342,07JX,07JX00,Samenwerkingsschool De Leister Igge,Healwei,3,9218 RH,OPEINDE,SMALLINGERLAND,Protestants-Christelijk,512372400,www.swsdeleisterigge.nl,Noord
Friesland,40342,15UV,15UV00,Christelijke Basisschool Het Anker,De Frisia,150,9207 CZ,DRACHTEN,SMALLINGERLAND,Protestants-Christelijk,512545133,www.pcbohetanker.nl,Noord
Friesland,40342,15XD,15XD00,Het Mozaiek,Middelwyk,2,9202 GV,DRACHTEN,SMALLINGERLAND,Protestants-Christelijk,512544530,www.pcbohetmozaiek.nl,Noord
Friesland,40342,15ZE,15ZE00,De Spreng,Klaverweide,46,9203 GC,DRACHTEN,SMALLINGERLAND,Protestants-Christelijk,512545042,www.pcbodespreng.nl,Noord
Friesland,40342,16AY,16AY00,De Linebeam,Dorsvloer,3,9205 BN,DRACHTEN,SMALLINGERLAND,Protestants-Christelijk,512545404,www.pcboitfoarhus.nl,Noord
Friesland,40342,16DW,16DW00,Christelijke Basisschool De Voorde,Flevo,186,9204 JT,DRACHTEN,SMALLINGERLAND,Protestants-Christelijk,512545344,www.pcbodevoorde.nl,Noord
Friesland,40342,16JI,16JI00,It Ambyld,Handwerkerszijde,46,9201 CP,DRACHTEN,SMALLINGERLAND,Protestants-Christelijk,512545550,www.pcboitambyld.nl,Noord
Friesland,40788,04IT,04IT00,Basisschool De Tarissing Christelijk Basisonderwijs,De Wygeast,10,9294 KN,ALDWALD,NOARDEAST-FRYSLAN,Protestants-Christelijk,511452500,www.tarissing.eu,Noord
Friesland,40788,04JX,04JX00,Christelijke Basisschool Bernewird,Raarderwei,8,9156 AC,BOARNWERT,NOARDEAST-FRYSLAN,Protestants-Christelijk,519297245, ,Noord
Friesland,40788,04KY,04KY00,Christelijke Basisschool De Rank,Roptawei,7,9123 JA,MITSELWIER,NOARDEAST-FRYSLAN,Protestants-Christelijk,519241817,www.rank-pcbodongeradeel.nl,Noord
Friesland,40788,05OV,05OV00,Christelijke Basisschool De Fjouwerhoeke,Fennewei,2,9144 CX,HANTUMHUZEN,NOARDEAST-FRYSLAN,Protestants-Christelijk,519571212,www.pcbo-dongeradeel.nl,Noord
Friesland,40788,05UL,05UL00,Christelijke Basisschool De Bining,Eelke Meinertswei,35,9295 KC,WESTERGEAST,NOARDEAST-FRYSLAN,Protestants-Christelijk,511441486, ,Noord
Friesland,40788,07HO,07HO00,Chr Basisschool Op de Hoogte,Toutenburgstraat,2,9851 AJ,BURUM,NOARDEAST-FRYSLAN,Protestants-Christelijk,594249146,www.cbsopdehoogte.nl,Noord
Friesland,40788,07IP,07IP00,Christelijke Basisschool,Herweystrjitte,49,9145 SK,TERNAARD,NOARDEAST-FRYSLAN,Protestants-Christelijk,519571472,www.arlanta.nl,Noord
Friesland,40788,07JQ,07JQ00,Christelijke Basisschool Wr���ldwizer,Doktersfiif,22,9137 RW,EASTERNIJTSJERK,NOARDEAST-FRYSLAN,Protestants-Christelijk,519235020,www.wraldwizer-arlanta.nl,Noord
Friesland,40788,07LF,07LF00,Christelijke Basisschool De Gearing,De Skeperij,35,9131 LE,IE,NOARDEAST-FRYSLAN,Protestants-Christelijk,519518267,www.gearing-pcbodongeradeel.nl,Noord
Friesland,40788,08UJ,08UJ00,Christelijke Basisschool 't Oegh,Methardusstraat,43,9853 PD,MUNNEKEZIJL,NOARDEAST-FRYSLAN,Protestants-Christelijk,594688254,www.oegh.vcbokollumerland.nl,Noord
Friesland,40788,09CT,09CT00,Pr Bernhardschool,Bernhardlaan,42,9291 HP,KOLLUM,NOARDEAST-FRYSLAN,Protestants-Christelijk,511452089,www.pbschool.nl,Noord
Friesland,40788,09YZ,09YZ00,Kon Julianasch,Tsjerk Hiddesstraat,4,9291 AX,KOLLUM,NOARDEAST-FRYSLAN,Protestants-Christelijk,511451948, ,Noord
Friesland,40788,10IK,10IK00,De Stapstien,Skoallestrjitte,14,9298 PT,KOLLUMERSWEACH,NOARDEAST-FRYSLAN,Protestants-Christelijk,511442370, ,Noord
Friesland,40788,12PK,12PK00,Christelijke Basisschool de Regenboog,Mearsloatswal,2,9101 DR,DOKKUM,NOARDEAST-FRYSLAN,Protestants-Christelijk,519293608, ,Noord
Friesland,40788,12WY,12WY00,Christelijke Basisschool De Pionier,Alde Terp,2,9101 SC,DOKKUM,NOARDEAST-FRYSLAN,Protestants-Christelijk,519221482,pionier-arlanta.nl,Noord
Friesland,40788,13CV,13CV00,Christelijke Basisschool de Bron,Kapellaan,5,9101 WB,DOKKUM,NOARDEAST-FRYSLAN,Protestants-Christelijk,519293481,www.bron-pcbodongeradeel.nl,Noord
Friesland,40788,13IE,13IE00,Christelijke Basisschool Eben Haezer,Kweekschoolstraat,2,9101 AC,DOKKUM,NOARDEAST-FRYSLAN,Protestants-Christelijk,519221440,www.eh-pcbodongeradeel.nl,Noord
Friesland,40788,13NG,13NG00,Christelijke Basisschool de Hoeksteen,Zwaluwstraat,49,9101 HE,DOKKUM,NOARDEAST-FRYSLAN,Protestants-Christelijk,519221505,https://hoeksteen-arlanta.nl/,Noord
Friesland,40788,15BP,15BP00,Christelijke Basisschool de Springplanke,De Kampen,39,9132 LV,INGWIERRUM,NOARDEAST-FRYSLAN,Protestants-Christelijk,511408500,www.springplanke-arlanta.nl,Noord
Friesland,40888,06SM,06SM00,Fredericusschool,Pastoor Schuttestraat,30,8395 TN,STEGGERDA,WESTSTELLINGWERF,Rooms-Katholiek,561441474,www.fredericus.nl,Noord
Friesland,41000,03SM,03SM00,Rooms Kaholieke Basisschool Sint Radbodus,Ljouwertertrekwei,4,9035 ED,DRONRYP,WAADHOEKE,Rooms-Katholiek,517231562,www.radbodus.nl,Noord
Friesland,41000,03VL,03VL00,Basisschool Sint Radboud,Dekamastrjitte,2-B,9011 WE,JIRNSUM,LEEUWARDEN,Rooms-Katholiek,566601242,www.radboudjirnsum.nl,Noord
Friesland,41000,05AI,05AI00,Sint Ludgerus-School,Siemen de Jongstrjitte,4,8561 DP,BALK,DE FRYSKE MARREN,Rooms-Katholiek,514602343,www.ludgerusskoalle.nl,Noord
Friesland,41000,05BJ,05BJ00,basisschool Sint Michael,Schritsen,52,8861 CV,HARLINGEN,HARLINGEN,Rooms-Katholiek,517413757,www.stmichaelschool.nl,Noord
Friesland,41000,05BS,05BS00,Sint Bonifaciusschool,Sanleansterdyk,20,8736 JB,REAHUS,SUDWEST-FRYSLAN,Rooms-Katholiek,515332248, ,Noord
Friesland,41000,05EY,05EY00,Rooms Katholieke Daltonschool Sint Martinus,Ds L Touwenlaan,3,8754 BP,MAKKUM,SUDWEST-FRYSLAN,Rooms-Katholiek,515232424,www.martinusmakkum.nl,Noord
Friesland,41000,05JH,05JH00,Rooms Katholieke Basisschool Sint Lukas Jenaplan-School,De Lanen,96,9204 WC,DRACHTEN,SMALLINGERLAND,Rooms-Katholiek,512517199,www.st-lukasschool.nl,Noord
Friesland,41000,05KA,05KA00,St Franciscus-School,Lycklamaweg,14,8471 JX,WOLVEGA,WESTSTELLINGWERF,Rooms-Katholiek,561614022, ,Noord
Friesland,41000,06PG,06PG00,Basisschool It Klimmerbled,De Pit,2,8521 PD,SINT NICOLAASGA,DE FRYSKE MARREN,Rooms-Katholiek,513431797,www.klimmerbled.nl,Noord
